Correlation Matrix:
                        description_length    merged  time_to_close  time_to_merge  time_to_first_response  author_association  num_comments  num_review_comments  num_commits  num_additions  num_deletions  num_changed_lines  num_changed_files
description_length                1.000000 -0.056217       0.049696       0.049696                0.047305            0.129874      0.056739             0.024222    -0.025397       0.017770       0.058441           0.036640           0.069626
merged                           -0.056217  1.000000      -0.151058      -0.151058               -0.092192            0.224799     -0.128934             0.009402     0.016822      -0.014884       0.029179          -0.001393          -0.006798
time_to_close                     0.049696 -0.151058       1.000000       1.000000                0.227087           -0.038135      0.481856             0.108256     0.098410       0.062086       0.075210           0.079655           0.062510
time_to_merge                     0.049696 -0.151058       1.000000       1.000000                0.227087           -0.038135      0.481856             0.108256     0.098410       0.062086       0.075210           0.079655           0.062510
time_to_first_response            0.047305 -0.092192       0.227087       0.227087                1.000000           -0.045095      0.132226             0.078386     0.023765       0.018021       0.013987           0.020179           0.008317
author_association                0.129874  0.224799      -0.038135      -0.038135               -0.045095            1.000000     -0.103191             0.082213     0.063224       0.070558       0.131873           0.107922           0.254668
num_comments                      0.056739 -0.128934       0.481856       0.481856                0.132226           -0.103191      1.000000             0.266661     0.145437       0.074426       0.066325           0.086550           0.096474
num_review_comments               0.024222  0.009402       0.108256       0.108256                0.078386            0.082213      0.266661             1.000000     0.143011       0.106238       0.090361           0.121926           0.114558
num_commits                      -0.025397  0.016822       0.098410       0.098410                0.023765            0.063224      0.145437             0.143011     1.000000       0.166692       0.133312           0.188132           0.166105
num_additions                     0.017770 -0.014884       0.062086       0.062086                0.018021            0.070558      0.074426             0.106238     0.166692       1.000000       0.277704           0.932868           0.359231
num_deletions                     0.058441  0.029179       0.075210       0.075210                0.013987            0.131873      0.066325             0.090361     0.133312       0.277704       1.000000           0.605111           0.297736
num_changed_lines                 0.036640 -0.001393       0.079655       0.079655                0.020179            0.107922      0.086550             0.121926     0.188132       0.932868       0.605111           1.000000           0.409350
num_changed_files                 0.069626 -0.006798       0.062510       0.062510                0.008317            0.254668      0.096474             0.114558     0.166105       0.359231       0.297736           0.409350           1.000000
